"Titre";"Catégorie de talents";"Aptitude";"Aptitude raciale";"Talent";"Pouvoir";"Autre prérequis";"Compétences";"Classe";"Race";"Avantage";"Stats";"Source";"Errata"
"Bâton défensif";"Héroïque";;;;;;;;;"Quand vous maniez une arme d'hast ou un bâton de vos deux mains, vous bénéficiez d'un bonus de bouclier de +1 à la CA et aux Réflexes.";;"Manuel des Joueurs 3";"Aucun"
"Bâton trompeur";"Parangonique";;;;;;;"Guerrier, Maître de guerre, Rôdeur, Voleur";;"Chaque fois que vous ratez un ennemi avec une attaque de corps à corps qui utilise un bâton, cet ennemi vous confère un avantage de combat jusqu'à la fin de votre tour de jeu suivant.";;"Art de la Guerre 2";"Aucun"
"Battre le fer";"Héroïque";;;;;;;;;"Chaque fois que vous touchez une cible avec une attaque d'opportunité en utilisant un marteau, vous pouvez également la poussez de 1 case.";;"Manuel des Joueurs 3";"Aucun"
"Bénédiction d'Avandra";"Héroïque";;;;;;;"Prêtre";"Halfelin";"Lorsque vous utilisez votre pouvoir racial deuxième chance et que l'attaque réussit, un allié dans un rayon de 5 cases de vous peut dépenser une récupération.";;"Intervention Divine";"Aucun"
"Bénédiction de Chauntéa";"Domaine Divin";"Conduit divin";;;;;;"Invocateur, Paladin, Prêtre, Prêtre des runes, Vengeur";;"Vous pouvez invoquez le pouvoir de votre dieu pour utiliser bénédiction de Chauntéa.";;"Royaume Oubliés";"Aucun"
"Bénédiction de Corellon";"Héroïque";;;;"Mot de guérison";;;"Prêtre";"Elfe";"Lorsque vous utilisez votre pouvoir racial précision elfique et que l'attaque réussit, un allié dans un rayon de 5 cases de vous peut dépenser une récupération.";;"Intervention Divine";"Aucun"
"Bénédiction de l'obscur supérieure";"Héroïque";;;;;;;"Sorcier";;"Votre aptitude de classe de bénédiction de l’obscur vous donne maintenant 3 points de vie temporaires supplémentaires.";"Con 15";"Manuel des Joueurs 1";"Aucun"
"Bénédiction de Reine Corneille";"Domaine Divin";"Conduit divin";;;;;;"Invocateur, Paladin, Prêtre, Prêtre des runes, Vengeur";;"Vous pouvez invoquer le pouvoir de votre dieu pour utiliser Bénédiction de Reine Corneille.";;"Manuel des Joueurs 1";"Aucun"
"Bénédiction de Sylvanus";"Domaine Divin";"Conduit divin";;;;;;"Invocateur, Paladin, Prêtre, Prêtre des runes, Vengeur";;"Vous pouvez invoquez le pouvoir de votre dieu pour utiliser bénédiction de Sylvanus.";;"Royaume Oubliés";"A faire sur le pouvoir du talent"
"Bénédiction élémentaire";"Héroïque";;;;;;;"Invocateur, Paladin, Prêtre, Prêtre des runes, Vengeur";"Genasi";"Lorsque vous utilisez le pouvoir racial associé à votre manifestation élémentaire, vous ou un allié dans un rayon de 5 cases de vous gagne un nombre de points de vie temporaires égal à votre modificateur de Force.";;"Intervention Divine";"Aucun"
"Bénédiction infernale";"Héroïque";;;;;;;"Invocateur, Paladin, Prêtre, Prêtre des runes, Vengeur";"Tieffelin";"Lorsque vous utilisez votre pouvoir racial courroux infernal, un allié qui vous est adjacent regagne un nombre de points de vie égal à votre modificateur de Charisme et bénéficie d'un bonus de pouvoir de +1 à son prochain jet d'attaque contre la cible du pouvoir avant la fin de son tour de jeu suivant.";;"Intervention Divine";"01/2013"
"Béquille";"Héroïque";"Attaque sournoise";;;;;;"Voleur";"Halfelin";"Lorsque vous touchez un ennemi de taille G ou supérieur et que vous êtes censé lui infligé des dégâts d'attaque sournoise, vous pouvez renoncer à ceux-ci, en échange de quoi la cible est ralentie jusqu'à la fin de votre tour de jeu suivant. Le recours à cette option compte comme un usage d'attaque sournoise pour le round.";;"Art de la Guerre 1";"Aucun"
"Bête délogeuse";"Parangonique";"Maîtrise des bêtes";;;;"(loup ou ours)";;"Rôdeur";;"Chaque fois que votre compagnon bestial touche une créature avec une attaque de base de corps à corps, il la pousse de 1 case.";;"Art de la Guerre 2";"Aucun"
"Bête du soupir";"Héroïque";"Maîtrise des bêtes";;;;;;"Rôdeur";"Drakéide";"Votre compagnon bestial bénéficie d'une résistance 5 + la moitié de votre niveau au type de dégâts de votre pouvoir racial souffle de dragon.";;"Art de la Guerre 1";"Aucun"
"Bête intérieure";"Parangonique";;;;;;;;"Minotaure";"Quand vous êtes en péril, vous bénéficiez d'un bonus de +1 aux jets d'attaque et jets de dégâts.";;"Manuel des Joueurs 3";"Aucun"
"Bête protectrice";"Parangonique";"Maîtrise des bêtes";;;;;;"Rôdeur";;"Lorsque votre compagnon bestial vous est adjacent, vous bénéficiez d'un +1 à la CA.";;"Art de la Guerre 1";"Aucun"
"Bête robuste";"Parangonique";"Maîtrise des bêtes";;;;;;"Rôdeur";;"Votre compagnon gagne une récupération supplémentaire ainsi que des points de vie supplémentaires égaux à 5 + votre modificateur de Sagesse.";;"Art de la Guerre 1";"Aucun"
"Bête vengeresse";"Héroïque";"Maîtrise des bêtes, Traque";;;;;;"Rôdeur";;"Lorsque votre proie vous inflige des dégâts avec une attaque, votre compagnon bestial bénéficie d'un +1 aux jets d'attaque et jets de dégâts contre elle jusqu'à la fin de votre tour de jeu suivant.";;"Art de la Guerre 1";"Aucun"
"Bête venimeuse";"Parangonique";"Maîtrise des bêtes ";;;;"(araignée ou serpent)";;"Rôdeur";;"Chaque fois que votre compagnon bestial touche une créature avec une attaque de base de corps à corps, la cible subit 5 dégâts de poison continus (sauvegarde annule).Ces dégâts continus passent à 10 au niveau 21.";;"Art de la Guerre 2";"Aucun"
"Bivouac sécurisé";"Héroïque";;;;;;"Formation Discrétion, Nature, Perception";"Rôdeur";;"Si vous êtes au conscient au moment où vous entamez un repos prolongé avec vos alliés, ces derniers bénéficient aux tests de Discrétion et de Perception durant ce repos d'un bonus égal à votre modificateur de Sagesse. Ce bonus persiste jusqu'à la fin du repos prolongé.";"Sag 13";"Art de la Guerre 1";"Aucun"
"Blâme d'acier";"Parangonique";;;;"Pique spirituelle";;;"Batailleur";;"Quand vous infligez des dégâts à une cible avec votre pique spirituelle, les ennemis qui lui sont adjacents subissent des dégâts psychiques égaux à votre modificateur de Sagesse ou de Charisme.";;"Manuel des Joueurs 3";"Aucun"
"Blessure lourde";"Héroïque";"Attaque sournoise, Ruffian impitoyable";;;;;;"Voleur";;"Lorsque vous utilisez un gourdin ou une masse pour effectuer une attaque sournoise qui affaiblit la cible, l'aveugle, l'immobilise ou la ralentit, celle-ci subit un -2 aux jets de sauvegarde contre ces états préjudiciables.";;"Art de la Guerre 1";"Aucun"
"Blizzard brûlant";"Héroïque";;;;;;;;;"vous bénéficiez d’un bonus de talent de +1 aux jets de dégâts lorsque vous utilisez un pouvoir accompagné du mot-clé acide ou froid.Au niveau 11, ce bonus passe à +2, au niveau 21, il passe à +3.";"Int 13, Sag 13";"Manuel des Joueurs 1";"Aucun"
"Bond obscur";"Parangonique";;;;;;;"Voleur";"Drow";"Au tour de jeu où vous utilisez le pouvoir racial chape d'obscurité, vous pouvez vous téléportez une fois dans n'importe quelle case inoccupée de l'aire d'effet au prix d'une action libre.";;"Art de la Guerre 1";"Aucun"
"Bouclier d'ombre";"Héroïque";;;;;;;;"Drow";"Vous bénéficiez d'un bonus de +2 en Réflexes lorsque vous vous trouvez dans l'effet de votre chape d'obscurité.";;"Royaume Oubliés";"Aucun"
"Bouclier de la Flamme d'Argent";"Domaine Divin";"Conduit divin";;;;;;"Invocateur, Paladin, Prêtre, Prêtre des runes, Vengeur";;"Vous gagnez le pouvoir de conduit divin bouclier de la Flamme d'Argent.";;"Eberron";"Aucun"
"Bouclier du protecteur";"Héroïque";"Esprit protecteur";;;;;;"Shaman";;"Lorsque vous touchez avec votre bouclier des esprits, l'attaque inflige 1d8 dégâts supplémentaires.";;"Force de la Nature";"Aucun"
"Bouclier intempestif";"Héroïque";"Défi en combat";;;;;;"Guerrier";;"Si vous touchez un ennemi avec une attaque qui vous est conférée par votre aptitude de classe de défi en combat, la cible subit un malus de -2 aux jets d’attaque jusqu’au début de votre tour de jeu suivant.Spécial : vous devez être équipé d’un bouclier pour bénéficiez de ce talent.";"Sag 15";"Manuel des Joueurs 1";"Aucun"
"Bouclier quorien";"Héroïque";;;;;;;;"Kalashtar";"Vous bénéficiez d'une résistance aux dégâts psychique égale à 5 + la motié de votre niveau.";;"Eberron";"Aucun"
"Bouclier vengeur";"Héroïque";"Égide défensive";;;;;;"Mage d’armes";;"Lorsque vous utilisez votre pouvoir d'égide défensive, vous bénéficiez d'un bonus de +2 au prochain jet d'attaque effectué avant la fin de votre tour de jeu suivant contre l'adversaire qui a déclenché l'interruption immédiate d'égide défensive.";;"Royaume Oubliés";"Aucun"
"Bouffée de colère";"Héroïque";;;;;;;;"Demi-orque";"Lorsque vous êtes en péril pour la première fois d’une rencontre, vous bénéficiez d’un bonus de +2 aux jets d’attaques jusqu’à la fin de votre tour de jeu suivant.";;"Manuel des Joueurs 2";"Aucun"
"Bousculade contrôlée";"Héroïque";;;;;;;;;"Chaque fois que vous touchez une cible avec une bousculade, vous pouvez la faire glisser au lieu de la pousser.";;"Manuel des Joueurs 3";"Aucun"
"Bousculade d'opportunité";"Héroïque";;;;;;;;;"Quand vous effectuez une attaque d'opportunité, vous pouvez effectuez une bousculade à la place d'une attaque de base de corps à corps. En cas de succès, la cible confère également un avantage de combat jusqu'au début de votre tour de jeu suivant.";;"Manuel des Joueurs 3";"Aucun"
"Bousculade sauvage";"Héroïque";"Métamorphose animale";;;;;;"Druide";;"Quand vous êtes sous forme animale, vous bénéficiez d'un bonus de talent de +2 aux attaques de bousculade, et vous pouvez tenter une bousculade sur des cibles de n'importe quelle taille.";;"Force de la Nature";"Aucun"
"Bousculade supérieure";"Héroïque";;;;;;;;;"Vous bénéficiez d’un bonus de +4 aux jets d’attaques lorsque vous utilisez la manœuvre de bousculade. Au niveau 11, ce bonus passe à +6, au niveau 21, il passe à +8.";"For 13, Con 13";"Manuel des Joueurs 2";"Aucun"
"Boussole intérieure";"Héroïque";;;;;;"Formation Exploration ou Nature";;;"Vous savez toujours dans quelle direction est le nord. Lorsque vous faites un test d'Exploration ou de Nature pour trouver votre chemin dans un milieu naturel, vous pouvez lancer deux dés et utilisez le résultat de votre choix.";;"Force de la Nature";"Aucun"
"Broyeur goliath";"Héroïque";;;;;;;"Guerrier";"Goliath";"Chaque fois que vous utilisez une masse pour attaquer une créature que vous avez marquée, cette arme à la propriété critique amélioré.";;"Art de la Guerre 2";"Aucun"
"Brutalité contondante";"Parangonique";;;;;;;"Voleur";;"Lorsqu vous touchez avec un gourdin ou une masse, considérez que l'arme dispose de la propriété brutale 1 (relancez tout dé de dégâts dont le résultat est 1, jusqu'à obtenir un résultat d'au moins 2).";;"Art de la Guerre 2";"Aucun"
"Brutalité d'emblée";"Héroïque";"Brute des bas-fonds, Frappe de la mante";;;;;;"Voleur";;"Au début d'une rencontre, chaque fois que vous touchez une cible qui n'a pas encore agi, vous la faites glisser de 1 case.";;"Art de la Guerre 1";"Aucun"
"Brute des tavernes";"Héroïque";"Style du bagarreur";;;;;;"Guerrier";;"Le dé de dégâts de vos attaques à mains nues passe à 1d6. Le dés de dégâts des gantelets cloutés (cf. page 9 du Comptoir de l’Aventure) passe à 1d8.";;"Art de la Guerre 2";"Aucun"
"Brute enragée";"Héroïque";;;;;;;"Voleur";"Demi-orque";"Chaque fois que vous utiliser votre pouvoir racial assaut enragé, l'ennemi que vous touchez vous confère un avantage de combat jusqu'à la fin de votre tour de jeu suivant.";;"Art de la Guerre 2";"Aucun"
"Cabriole";"Héroïque";"Esthète de l'esquive";;;;;;"Voleur";;"Lorsqu'un pouvoir vous permet de vous décaler, vous pouvez au lieu de cela vous déplacer de cette distance +2 cases.";;"Art de la Guerre 1";"Aucun"
"Cache-cache";"Héroïque";;;;;;"Formation Discrétion";"Rôdeur";;"Lorsque vous disposez d'un abris ou d'un camouflage en extérieur, vous bénéficiez d'un bonus de talent de +5 aux test de Discrétion.";"Sag 13";"Art de la Guerre 1";"Aucun"
"Calamité marquée";"Parangonique";"Défi en combat";;;;;;"Guerrier";;"Ajoutez votre modificateur de Sagesse aux jets de dégâts contre les ennemis que vous avez marqués.";;"Art de la Guerre 1";"Aucun"
"Camouflage protecteur";"Héroïque";"Alliance protectrice";;;;;;"Invocateur";"Gnome";"Lorsque vous utilisez vos représailles du protecteur, vous pouvez également conférer un camouflage à l'allié qui a été touché par l'ennemi déclencheur. Le camouflage dure jusqu'à la fin de votre tour de jeu suivant.";;"Intervention Divine";"Aucun"
"Canaille souffleuse";"Parangonique";"Attaque sournoise";;;;;;"Voleur";"Drakéide";"Lorsque vous utilisez votre pouvoir racial souffle de dragon, vous pouvez dépenser votre attaque sournoise à chaque ennemi que vous touchez et qui vous confère un avantage de combat.";;"Art de la Guerre 2";"Aucun"
"Canalisation de force";"Héroïque";;;;;;;"Paladin";;"Après avoir utilisé un pouvoir de Conduit Divin, vous bénéficiez d’un bonus de pouvoir de +1 au prochain jet d’attaque de corps-à-corps effectué avant la fin de votre tour de jeu suivant.";;"Intervention Divine";"Aucun"
"Canaliseur polyvalent";"Héroïque";"Conduit divin";;;;;;"Invocateur, Paladin, Prêtre, Prêtre des runes, Vengeur";;"Choisissez une classe divine autre que la votre et un pouvoir de Conduit Divin disponible comme aptitude classe pour cette classe. Ajoutez ce pouvoir de Conduit Divin à la liste de vos pouvoir de Conduit Divin disponible.";;"Intervention Divine";"Aucun"
"Capitaine archer";"Héroïque";"Maître de guerre archer";;;;;;"Maître de Guerre";;"Vous et un allié situé dans un rayon de 5 cases ignorez l'attaque de portée longue.";;"Art de la Guerre 2";"Aucun"
"Carapace endurante";"Héroïque";;;;;;;"Guerrier, Maître de guerre, Rôdeur, Voleur";;"Vous ne subissez pas de malus d’armure aux tests de compétences basées sur la Force ou la Constitution.";;"Art de la Guerre 2";"Aucun"
"Carapace véloce";"Héroïque";;;;;;;"Guerrier, Maître de guerre, Rôdeur, Voleur";;"Vous ne subissez pas de malus d’armure aux tests de compétences basées sur la Dextérité.";;"Art de la Guerre 2";"Aucun"
"Carnage et assaut";"Parangonique";"Carnage";;;;;;"Barbare";;"Quand vous réussissez un coup critique avec un pouvoir d'attaque de barbare alors que vous êtes enragé, vous pouvez effectuer une charge au prix d'une action libre au lieu d'effectuer une attaque de base de corps à corps grâce à carnage";;"Manuel des Joueurs 2";"Aucun"
"Cerner l'adversité";"Héroïque";;;;;;;"Guerrier";;"Lorsque vous réussissez un coup critique contre une cible avec une attaque de corps à corps, vous bénéficiez d'un bonus de +2 à toutes les défenses contre les attaques de celle-ci jusqu'à la fin de votre tour de jeu suivant.";"Sag 15";"Art de la Guerre 1";"Aucun"
"Chaînes brisées";"Héroïque";;;;;;;;"Drakéide";"Vous bénéficiez d'un bonus de +1 en Volonté et d'un bonus de +2 aux jets de sauvegarde contre les effets de charme.";;"Royaume Oubliés";"Aucun"
"Chance de l'elfe sauvage";"Héroïque";;;;;;;;"Elfe";"Lorsque vous utilisez le pouvoir de précision elfique, vous bénéficiez d'un bonus de +1d4 au nouveau jet.Spécial : vous ne pouvez pas prendre ce talent si vous avez déjà le talent Agilité des bois.";;"Royaume Oubliés";"Aucun"
"Chance des fées";"Héroïque";;;;"Chance divine";;;"Prêtre";"Gnome";"Lorsque vous utilisez chance divine, vous conféré également un bonus de +1 à un allié dans un rayon de 5 cases.";;"Intervention Divine";"Aucun"
"Chaos déclenché";"Héroïque";"Magie sauvage";;;;;;"Ensorceleur";"Halfelin";"Lorsque vous utilisez votre pouvoir racial seconde chance, vous gagnez un avantage supplémentaire dépendant du résultat du nouveau tirage. Si le nouveau tirage de l'ennemi est un nombre pair, vous pouvez faire glisser l'ennemi d'une case après l'attaque. Si le nouveau tirage de l'ennemi est un nombre impair, vous pouvez vous décaler d'une case après l'attaque.";;"Secret des Arcanes";"Aucun"
